Trace ID, Broker,Serializer,Execution ID,Execution Volume,CPU Usage,Memory Usage,Response Time In Seconds,Transactions Per Second, Start Execution Date, End Execution Date
96dd2ab095313593bbddbf63013bca3e,JMS,JSON,1,1000000,0.856318824604198,497.564540072627,859,1164.144353,2024-11-15T14:54:53Z,2024-11-15T15:09:12Z
b3914b0d1a6b57c2da9a81a48fdeab16,JMS,PROTOBUF,1,1000000,0.85177479197141,509.674060214719,778,1285.347043,2024-11-15T15:09:14Z,2024-11-15T15:22:12Z
fa07c31971f6fe358e0a7f1c6b5298e0,JMS,PROTOSTUFF,1,1000000,0.846479220981844,516.086226054357,806,1240.694789,2024-11-15T15:22:15Z,2024-11-15T15:35:41Z
2cef08656a35b44d755fc09c4f21a279,JMS,KRYO,1,1000000,0.839845425639083,523.259218765432,839,1191.895113,2024-11-15T15:35:43Z,2024-11-15T15:49:42Z
29dcb458bd8bba5617b6ff0a907ebe98,JMS,MSGPACK,1,1000000,0.832674300491969,530.650546237147,866,1154.734411,2024-11-15T15:49:45Z,2024-11-15T16:04:11Z
ca6a8780e8b223e5a9e2dd5930c6518a,KAFKA,JSON,1,1000000,0.826147738470261,538.45330617853,403,2481.389578,2024-11-15T16:04:14Z,2024-11-15T16:10:57Z
cbc347515db429e37e3f3332b6db0be1,KAFKA,PROTOBUF,1,1000000,0.832555603312306,544.859788308947,223,4484.304932,2024-11-15T16:10:59Z,2024-11-15T16:14:42Z
24fa124ab50cf54f5d76ffaf66ca7fd0,KAFKA,PROTOSTUFF,1,1000000,0.836692777731812,548.219647396933,221,4524.886877,2024-11-15T16:14:45Z,2024-11-15T16:18:26Z
1c5fd7bb82ac6d4a1f549d4d2bf14b5a,KAFKA,KRYO,1,1000000,0.840358376496086,551.422878514306,239,4184.100418,2024-11-15T16:18:28Z,2024-11-15T16:22:27Z
d6872e01da906bf6e5e15ef6eaa25e78,KAFKA,MSGPACK,1,1000000,0.843953044854029,554.644516176032,358,2793.296089,2024-11-15T16:22:29Z,2024-11-15T16:28:27Z
ba7da27fc814d190997249bcedb4e42e,JMS,JSON,2,1000000,0.847538473797313,559.130188399501,913,1095.290251,2024-11-15T16:28:29Z,2024-11-15T16:43:42Z
b4c18b1701ec1c51188c32edc2b6a7d9,JMS,PROTOBUF,2,1000000,0.851511313746991,569.706768639427,808,1237.623762,2024-11-15T16:43:44Z,2024-11-15T16:57:12Z
0465e08fbdf03393a6e4c9fc67ae201a,JMS,PROTOSTUFF,2,1000000,0.854421142993801,577.394716434748,778,1285.347043,2024-11-15T16:57:14Z,2024-11-15T17:10:12Z
af54e89cd56298cdcfc1ea8650fc074e,JMS,KRYO,2,1000000,0.854543247520317,583.532438531576,778,1285.347043,2024-11-15T17:10:14Z,2024-11-15T17:23:12Z
9df1f78747ac6cd901534fa5120583eb,JMS,MSGPACK,2,1000000,0.855245635233675,588.683093137607,837,1194.74313,2024-11-15T17:23:14Z,2024-11-15T17:37:11Z
d8130336c8fe350d1a4c8736669e1902,KAFKA,JSON,2,1000000,0.856459791252988,593.40205326204,404,2475.247524,2024-11-15T17:37:14Z,2024-11-15T17:43:58Z
3d16d8f6a3740f69490b8a5e985acdd0,KAFKA,PROTOBUF,2,1000000,0.863614700272967,595.41813374771,236,4237.288135,2024-11-15T17:44:00Z,2024-11-15T17:47:56Z
3f12a769d3c55e3e6366cb61d65c641e,KAFKA,PROTOSTUFF,2,1000000,0.868391901439575,596.539390933245,225,4444.444444,2024-11-15T17:47:58Z,2024-11-15T17:51:43Z
88752b4d0fb45e9a8eec907c6e55a26e,KAFKA,KRYO,2,1000000,0.872339867313236,597.549711906192,251,3984.063745,2024-11-15T17:51:45Z,2024-11-15T17:55:56Z
dc0e906cad6a406b8c46cd49add53019,KAFKA,MSGPACK,2,1000000,0.876412815300423,598.64527519909,373,2680.965147,2024-11-15T17:55:58Z,2024-11-15T18:02:11Z
d51c32933a30e9208fd07a34dcac93bf,JMS,JSON,3,1000000,0.880279551253314,600.166188018811,913,1095.290251,2024-11-15T18:02:13Z,2024-11-15T18:17:26Z
1b502a80924aa24ea99e100cae6c0949,JMS,PROTOBUF,3,1000000,0.885460724050138,603.48711818104,778,1285.347043,2024-11-15T18:17:28Z,2024-11-15T18:30:26Z
e5ce1ddcbb6a2a8740fea95a7452804e,JMS,PROTOSTUFF,3,1000000,0.889462975526269,605.917182857644,808,1237.623762,2024-11-15T18:30:28Z,2024-11-15T18:43:56Z
